title,link,media_type,post_date,parenthetical
The Best American Science And Nature Writing 2021,http://hujhax.livejournal.com/1137694.html#science,book,2022-11-13T19:15:00Z,
Ed Wood,http://hujhax.livejournal.com/1137694.html#wood,movie,2022-11-13T19:15:00Z,
Only Murders in the Building,http://hujhax.livejournal.com/1137694.html#murders,TV,2022-11-13T19:15:00Z,season 2
Our Flag Means Death,http://hujhax.livejournal.com/1137223.html#flag,TV,2022-11-07T03:42:00Z,season 1
Star Trek: Lower Decks,http://hujhax.livejournal.com/1137223.html#trek,TV,2022-11-07T03:42:00Z,season 3
Learn Bass 1 & 2: First Steps for Beginners,http://hujhax.livejournal.com/1137223.html#bass,course,2022-11-07T03:42:00Z,
How to Take Over the World,http://hujhax.livejournal.com/1136567.html#world,book,2022-10-30T23:42:00Z,
She-Hulk: Attorney at Law,http://hujhax.livejournal.com/1136567.html#hulksmash,TV,2022-10-30T23:42:00Z,
The History of Spain: Land on a Crossroad,http://hujhax.livejournal.com/1136567.html#spain,course,2022-10-30T23:42:00Z,
Play Rock Guitar 4: Rhythm Principles,http://hujhax.livejournal.com/1136567.html#rock,course,2022-10-30T23:42:00Z,
The Attention Merchants,http://hujhax.livejournal.com/1136012.html#attention,book,2022-10-24T01:16:00Z,
Book Lovers,http://hujhax.livejournal.com/1136012.html#book,book,2022-10-24T01:16:00Z,
Stories of Your Life and Others,http://hujhax.livejournal.com/1136012.html#stories,book,2022-10-24T01:16:00Z,
Arrival,http://hujhax.livejournal.com/1136012.html#arrival,movie,2022-10-24T01:16:00Z,
Attack the Block,http://hujhax.livejournal.com/1136012.html#attack,movie,2022-10-24T01:16:00Z,
The Grand Budapest Hotel,http://hujhax.livejournal.com/1136012.html#budapest,movie,2022-10-24T01:16:00Z,
Deutschland '86,http://hujhax.livejournal.com/1136012.html#d86,TV,2022-10-24T01:16:00Z,
The Wind Rises,http://hujhax.livejournal.com/1134555.html#wind,movie,2022-09-26T01:07:00Z,
The Matrix Resurrections,http://hujhax.livejournal.com/1134016.html#matrix4,movie,2022-09-18T23:11:00Z,
How We Move,http://hujhax.livejournal.com/1134016.html#gross,course,2022-09-18T23:11:00Z,
The Paper Menagerie and Other Stories,http://hujhax.livejournal.com/1133214.html#paper,book,2022-09-05T03:22:00Z,
Matrix,http://hujhax.livejournal.com/1133214.html#matrix,movie,2022-09-05T03:22:00Z,
Parasite,http://hujhax.livejournal.com/1133214.html#parasite,movie,2022-09-05T03:22:00Z,
Numbers Don't Lie,http://hujhax.livejournal.com/1132313.html#numbers,book,2022-08-28T20:47:00Z,
Inside the Mind of a Cat,http://hujhax.livejournal.com/1132313.html#cat,movie,2022-08-28T20:47:00Z,
The Story of French,http://hujhax.livejournal.com/1131856.html#french,book,2022-08-22T04:58:00Z,
Zootopia,http://hujhax.livejournal.com/1131856.html#zootopia,movie,2022-08-22T04:58:00Z,
Sense8,http://hujhax.livejournal.com/1131856.html#sense8,TV,2022-08-22T04:58:00Z,season 1
An Immense World,http://hujhax.livejournal.com/1131223.html#world,book,2022-08-07T18:51:00Z,
This Idea Must Die,http://hujhax.livejournal.com/1131223.html#idea,book,2022-08-07T18:51:00Z,
A Psalm for the Wild-Born,http://hujhax.livejournal.com/1131223.html#psalm,book,2022-08-07T18:51:00Z,
Mind-Blowing Science,http://hujhax.livejournal.com/1131223.html#science,course,2022-08-07T18:51:00Z,season 2
Star Trek: Strange New Worlds (1x06-1x10),http://hujhax.livejournal.com/1129865.html#strange,TV,2022-07-18T01:29:00Z,
The Scientific Wonder of Birds,http://hujhax.livejournal.com/1129865.html#birds,course,2022-07-18T01:29:00Z,
60 Electric Guitar Techniques You Must Know,http://hujhax.livejournal.com/1129315.html#guitar,course,2022-07-10T17:11:00Z,
Visual Group Theory,http://hujhax.livejournal.com/1129315.html#group,course,2022-07-10T17:11:00Z,
Fifty Plants That Changed the Course of History,http://hujhax.livejournal.com/1128756.html#plants,book,2022-07-03T20:56:00Z,
Cloud Atlas,http://hujhax.livejournal.com/1128756.html#cloud,movie,2022-07-03T20:56:00Z,
The Black Death,http://hujhax.livejournal.com/1128756.html#black,course,2022-07-03T20:56:00Z,
Play Rock Guitar 3,http://hujhax.livejournal.com/1128756.html#rock,course,2022-07-03T20:56:00Z,
Cloud Atlas,http://hujhax.livejournal.com/1127613.html#cloud,book,2022-06-13T02:07:00Z,
Star Trek: The Original Series,http://hujhax.livejournal.com/1127613.html#trek,TV,2022-06-13T02:07:00Z,season two
Star Trek: Strange New Worlds (1x01-1x05),http://hujhax.livejournal.com/1127613.html#strange,TV,2022-06-13T02:07:00Z,
Everything Everywhere All at Once,http://hujhax.livejournal.com/1126412.html#everything,movie,2022-05-30T04:13:00Z,
West Side Story,http://hujhax.livejournal.com/1126412.html#west,movie,2022-05-30T04:13:00Z,2021
Great Music of the 20th Century,http://hujhax.livejournal.com/1126412.html#music,course,2022-05-30T04:13:00Z,
Jeff McErlain's Beginner Blues-Rock Soloing,http://hujhax.livejournal.com/1126412.html#rock,course,2022-05-30T04:13:00Z,
1965: The Most Revolutionary Year in Music,http://hujhax.livejournal.com/1125400.html#1965,book,2022-05-09T02:16:00Z,
Millennium Actress,http://hujhax.livejournal.com/1125400.html#millennium,movie,2022-05-09T02:16:00Z,
Moon Knight,http://hujhax.livejournal.com/1125400.html#moon,TV,2022-05-09T02:16:00Z,eps 4-6
Victorian Britain,http://hujhax.livejournal.com/1124702.html#britain,course,2022-05-02T02:38:00Z,
The Design of Everyday Things,http://hujhax.livejournal.com/1124287.html#things,book,2022-04-25T02:41:00Z,
How to Do Nothing,http://hujhax.livejournal.com/1124287.html#nothing,book,2022-04-25T02:41:00Z,
While You Were Sleeping,http://hujhax.livejournal.com/1124287.html#sleeping,movie,2022-04-25T02:41:00Z,
Moon Knight,http://hujhax.livejournal.com/1124287.html#moon,TV,2022-04-25T02:41:00Z,eps 1-3
The City of Brass,http://hujhax.livejournal.com/1123408.html#city,book,2022-04-10T18:36:00Z,
Science in the 20ᵗʰ Century,http://hujhax.livejournal.com/1123408.html#science,course,2022-04-10T18:36:00Z,
Four Thousand Weeks,http://hujhax.livejournal.com/1122506.html#4000,book,2022-03-28T22:05:00Z,
Get Back,http://hujhax.livejournal.com/1122506.html#getback,TV,2022-03-28T22:05:00Z,
Steve Martin and Martin Short Present a Night You'll Forget for the Rest of Your Life,http://hujhax.livejournal.com/1122506.html#steve,TV,2022-03-28T22:05:00Z,
"England, the 1960s, and the Triumph of the Beatles",http://hujhax.livejournal.com/1122506.html#beatles,course,2022-03-28T22:05:00Z,
Encanto,http://hujhax.livejournal.com/1121707.html#encanto,movie,2022-03-15T03:14:00Z,
Thor: The Dark World,http://hujhax.livejournal.com/1121707.html#thor,movie,2022-03-15T03:14:00Z,
The Inevitable,http://hujhax.livejournal.com/1121140.html#inevitable,book,2022-03-07T01:18:00Z,
Explained,http://hujhax.livejournal.com/1121140.html#explained,TV,2022-03-07T01:18:00Z,
Only Murders in the Building,http://hujhax.livejournal.com/1121140.html#murders,TV,2022-03-07T01:18:00Z,
How to Look at and Understand Great Art,http://hujhax.livejournal.com/1120064.html#art,TV,2022-02-21T02:41:00Z,
Line Goes Up — The Problem with NFTs,http://hujhax.livejournal.com/1120064.html#line,TV,2022-02-21T02:41:00Z,
The Lions of Al-Rassan,http://hujhax.livejournal.com/1119624.html#lions,book,2022-02-14T03:27:00Z,
When Women Invented Television,http://hujhax.livejournal.com/1118333.html#women,book,2022-01-24T01:12:00Z,
The Witcher,http://hujhax.livejournal.com/1118333.html#witcher,TV,2022-01-24T01:12:00Z,season 2
Spiritfarer,http://hujhax.livejournal.com/1118333.html#spiritfarer,other,2022-01-24T01:12:00Z,
